"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"72","Dexamethasone","Dexamethason","VD-25856-16","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"73","Dexamethasone TTKN-25","Dexamethason phosphat (dưới dạng Dexamethason natri phosphat)","893110237800","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"74","Dexmed Kabi DV-26","Dexmedetomidin","900114962924","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"75","Dextrose","Glucose","VN-22248-19","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"76","Diamicron MR  30mg BVVT-26","Gliclazide","VN-20549-17","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
"77","Diamicron MR 60mg BVVT-25","Gliclazide","VN-20796-17","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
"78","Diamicron MR 60mg BVVT-26","Gliclazide","VN-20796-17","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
"79","Diazepam 10mg/2ml","Diazepam","893112683724","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"80","Diclofenac","Diclofenac","893110081424","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"81","Digoxin-BFS","Digoxin","VD-31618-19","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","cardiac_digoxin_ivabradine_nitrate"
"82","DigoxineQualy DV-26","Digoxin","89311028024","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","cardiac_digoxin_ivabradine_nitrate"
"83","Diprospan 1 ml","Betamethasone dipropionate + Betamethasone diosodiumphosphate","VN-15551-12","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"84","Disthyrox","Levothyroxin (muối natri)","VD-21846-14","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","thyroid"
"85","Disthyrox SYT-25","Levothyroxin ( muối natri)","VD-21846-14","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","thyroid"
"86","Disthyrox TTKN-25","Levothyroxin ( muối natri)","VD-21846-14","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","thyroid"
"87","Dobutamin-BFS","Dobutamin","VD-26125-17","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"88","Dopolys-S","Cao ginkgo biloba + heptaminol clohydrat + troxerutin","VD-34855-20","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"89","Dotarem 10ml DV","Gadoteric acid","VN-15929-12","Tiêm tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","contrast_media"
"90","Dotarem SYT-25","Gadoteric acid","VN-23274-22","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","contrast_media"
"91","Doxorubicin Bidiphar 50 TTKN-25","Doxorubicin hydroclorid","QLĐB-693-18","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"92","Doxorubicin DV-26","Doxorubicin Hydrochloride","893114093323","Truyền tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"93","Drotusc Forte","Drotaverin clohydrat","VD-24789-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"94","Dung dịch rửa vết thương Natri clorid 0,9%","Natri clorid","VD-30953-18","Dùng ngoài","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"95","Dung dịch vệ sinh phụ nữ Crevil","Cúc la mã, lá xô thơm,","189776/22/CBMP-QLD","Dùng ngoài","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","eye_ent_derm_local"
"96","Duphaston 10mg","Dydrogesteron","VN-12830-11","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","women_health"
"97","Easylax","Thiết bị y tế","190000999/PCBA-HN","Thụt hậu môn - trực tràng","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"98","Ediwel","Clopidogrel","VD-20441-14","Uống","Tim mạch","Đã có hồ sơ xác minh theo hoạt chất/SĐK","clopidogrel","statin_antiplatelet_anticoagulant"
