"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"167","Methocarbamol MCN 1000 TTKN-25","Methocarbamol","893110949724","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","muscle_relaxant"
"168","Methotrexat","Methotrexat","893114226823","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","methotrexate_immunosuppressant"
"169","Methylergometrine Maleate injection 0,2mg - 1ml","Methyl ergometrin maleat","VN-21836-19","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","uterotonic_contraceptive_more"
"170","Metovomit","Metoclopramid","893110227424","Uống","Tiêu hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiemetic"
"171","Metronidazol 0,5g/ 100ml -DV23","Metronidazol","VD34057-20","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Metronidazol 0,5g/ 100ml -DV23","metronidazole_spiramycin"
"172","Metronidazol 250","Metronidazol","VD-22036-14","Uống","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Metronidazol 0,5g/ 100ml -DV23","metronidazole_spiramycin"
"173","Meza-Calci D3 SYT-25","Calci carbonat + vitamin D3","VD-31110-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"174","Mezapulgit SYT-25","Attapulgit mormoiron hoạt hóa + magnesi carbonat - nhôm hydroxyd","VD-19362-13","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","attapulgite_antacid"
"175","Mezaterol 20","Bambuterol","VD-25696-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bambuterol_decongestant"
"176","MG-TAN INJ 480ml","Acid amin + glucose + lipid ()","VN-14825-12","Tiêm truyền tĩnh mạch","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"177","MG-TAN Inj 960ml","Acid amin + glucose + lipid ()","VN-21330-18","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"178","Mibetel HCT SYT-25","Telmisartan + hydroclorothiazid","893110409524","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"179","Mibetel HCT TTKN-25","Telmisartan + hydroclorothiazid","893110409524","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"180","Mirena (Hệ phóng thích thuốc qua dụng cụ đặt tử cung)","Levonorgestrel","640110020623","Đặt tử cung","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","uterotonic_contraceptive_more"
"181","Misoprostol stella 200mcg","Misoprostol","VD-13626-10","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","uterotonic_contraceptive_more"
"182","Morphin","Morphin","893111093823","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","opioid_nefopam"
"183","Moxifloxacin IMP 400 mg/ 250mL","Moxifloxacin (dưới dạng Moxifloxacin hydroclorid)","893115027624","Tiêm truyền","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Moxifloxacin IMP 400 mg/ 250mL","fluoroquinolone"
"184","Mycotrova 1000","Methocarbamol","VD-27941-17","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","muscle_relaxant"
"185","Mydrin-P 10ml","Tropicamide + phenylephrine hydroclorid","VN-21339-18","Nhỏ mắt","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"186","Naphazolin","Naphazolin","VD-29627-18","Nhỏ mũi","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bambuterol_decongestant"
"187","Natri bicarbonat 1,4%","Natri hydrocarbonat (natri bicarbonat)","VD-25877-16","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mannitol_bicarbonate_water_oxygen"
"188","Natri clorid 0,9% 100ml TTKN-25","Natri clorid","893110118423","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"189","Natri clorid 0,9% 500ml TTKN-25","Natri clorid","893110118423","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"190","Natri Clorid 0,9% EP","Natri clorid","VD-32723-19","Tiêm truyền tĩnh mạch","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"191","Natriclorid 10%","Natri clorid","VD-23169-15","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"192","Natrixam 1.5mg/5mg TTKN-25","Indapamide 1,5mg + Amlodipine (dưới dạng Amlodipine besilate) 5mg","300110029823","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"193","Navelbine DV-25","Vinorelbin","300110185525","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","vinorelbine_more_oncology"
"194","Nefopam hydroclorid","Nefopam hydroclorid","893110447924","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","opioid_nefopam"
"195","Neoamiyu Dv-25","Acid amin","","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"196","Nerusyn 1,5g TTKN-25","Ampicilin + sulbactam","893110387824","Tiêm","Thuốc nội trú khác","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Nerusyn 1,5g TTKN-25","ampicillin_sulbactam"
"197","Nexium Inj 40mg 1'S","Esomeprazol","VN-15719-12","Tiêm","Tiêu hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","ppi_gi"
"198","Nikoramyl 5","Nicorandil","VD-30393-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nicorandil_papaverine_octreotide"
"199","Nikoramyl 5 SYT-25","Nicorandil","VD-30393-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nicorandil_papaverine_octreotide"
"200","Nikoramyl 5 TTKN-25","Nicorandil","893110310400","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nicorandil_papaverine_octreotide"
"201","Nitralmyl 0,6","Glyceryl trinitrat (Nitroglycerin)","VD-34179-20","Đặt dưới lưỡi","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"202","Noradrenalin 1 mg/ml","Nor-epinephrin (Nor-adrenalin)","893110750024","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"203","NORMAGUT TTKN-25","Men Saccharomyces boulardii","QLSP-823-14","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"204","Novocain 3%","Procain hydroclorid","VD-26322-17","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"205","Novocain 3%","Procain hydroclorid","VD-23766-15","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"206","Nước cất tiêm","Nước cất pha tiêm","VD-18797-13","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mannitol_bicarbonate_water_oxygen"
"207","Nước cất tiệt trùng","Nước cất tiệt trùng","","Dùng ngoài","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mannitol_bicarbonate_water_oxygen"
"208","Nước Oxy già 3%","Nước oxy già","VS-4969-16","Dùng ngoài","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mannitol_bicarbonate_water_oxygen"
"209","Ocebiso SYT-25","Sulfamethoxazol + trimethoprim","893110214824","Uống","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Biseptol 480","tmp_smx"
"210","Ocemethyl","Methylprednisolon","893110634824","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"211","Ocepred","Methylprednisolon","893110635124","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"212","Octreotide","Octreotid","VN-19094-15","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nicorandil_papaverine_octreotide"
"213","Oflovid mỡ 3.5g","Ofloxacin","","Thuốc mắt","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ xác minh theo hoạt chất/SĐK","ofloxacin_eye_ointment","fluoroquinolone"
"214","Omnipaque 100ml","Iohexol","539110067223","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","contrast_media"
"215","Omnipaque 50ml","Iohexol","539110067223","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","contrast_media"
"216","Oresol new","Natri clorid + kali clorid + natri citrat + glucose khan","VD-23143-15","Uống","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"217","Ostenil","Thiết bị y tế","15685NK/BYT-TB-CT","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","device_misc"
"218","Ostenil Plus","Thiết bị y tế","14545NK/BYT-TB-CT","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","device_misc"
"219","Otilin","Xylometazolin","893100057223","Nhỏ mũi","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bambuterol_decongestant"
"220","Ovitrelle","Choriogonadotropin alfa","QLSP-0784-14","Tiêm dưới da","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","uterotonic_contraceptive_more"
"221","Oxaliplatin ""Ebewe""","Oxaliplatin","900114035623","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"222","Ôxy dược dụng","Oxy dược dụng","104006026","Bình khí lỏng hoặc nén","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mannitol_bicarbonate_water_oxygen"
"223","Ozanier 500mg","Levofloxacin (dưới dạng Levofloxacin hemihydrat 512mg)","893615262323","Uống","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Bivelox I.V 5mg/ml","fluoroquinolone"
"224","Paclitaxel ""Ebewe"" DV-26","Paclitaxel","VN-20581-17","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"225","Pantostad 40","Pantoprazol","893110096624","Uống","Tiêu hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","ppi_gi"
"226","Paparin","Papaverin hydroclorid","VD-20485-14","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nicorandil_papaverine_octreotide"
"227","Para-OPC 150mg","Paracetamol (acetaminophen)","893100160924","Uống","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","paracetamol"
"228","Paracetamol 10mg/ml","Paracetamol (acetaminophen)","VD-33956-19","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","paracetamol"
"229","Partamol 500 Cap","Paracetamol (acetaminophen)","893100166923","Uống","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","paracetamol"
"230","Pdsolone-40mg TTNK-25","Methyl prednisolon natri succinat tương đương Methylprednisolon 40mg (dưới dạng bột vô khuẩn Methylprednisolon natri succinat đệm 3% natri carbonat)","VN-21317-18","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"231","Pentaglobin","Immune globulin","QLSP-0803-14","Tiêm truyền tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","immune_globulin"
"232","Penzima SYT-25","Fexofenadin hydroclorid","VD-34370-20","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihistamine_allergy"
"233","Phenylalpha","Phenylephrin","VN-22162-19","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"234","Pilixitam-Piracetam","Piracetam","VN-22974-21","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiepileptic_neuro"
"235","Pms-Rosuvastatin QG-25","Rosuvastatin (dưới dạng Rosuvastatin Calcium)","754110001100","Uống","Tim mạch","Đã có hồ sơ xác minh theo hoạt chất/SĐK","rosuvastatin","statin_antiplatelet_anticoagulant"
"236","Polhumin Mix-2 SYT-25","Insulin người trộn, hỗn hợp","QLSP-1112-18","Tiêm","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","insulin"
"237","Polygynax","Nystatin + neomycin + polymyxin B","VN-21788-19","Đặt âm đạo","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ xác minh theo hoạt chất/SĐK","polygynax_vaginal","antifungal_azole_echinocandin"
"238","Pracetam 800 QG-24","Piracetam","893110697724","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiepileptic_neuro"
"239","Procoralan 7.5mg - BVVT 24","Ivabradin","VN-21894-19","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","cardiac_digoxin_ivabradine_nitrate"
"240","Procoralan 7.5mg BVVT-26","Ivabradin (dưới dạng ivabradin hydroclorid 8,085mg) 7,5mg","VN-21894-19","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","cardiac_digoxin_ivabradine_nitrate"
"241","Reamberin 400ml","Meglumin natri succinat","VN-19527-15","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","device_misc"
"242","Rocuronium 50mg","Rocuronium bromid","VD-35273-21","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"243","Salbuvin","Salbutamol sulfat","893115282424","Uống","Hô hấp","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bronchodilator_inhaled"
"244","Seduxen 5mg","Diazepam","599112027923","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"245","Sevoflurane 250ml","Sevofluran","VN-18162-14","Đường hô hấp","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"246","Simethicone  Stella","Simethicon","VD-25986-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"247","Smoflipid","Nhũ dịch lipid","123","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"248","Solezol","Esomeprazol","520110519424","Tiêm","Tiêu hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","ppi_gi"
"249","Sorbitol 3%","Sorbitol","VD-18005-12","Dùng ngoài","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"250","Sorbitol 5g SYT-25","Sorbitol","893100426724","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"251","Spulit","Itraconazol","VN-19599-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antifungal_azole_echinocandin"
"252","Stiprol","Glycerol","893100092424","Thụt hậu môn - trực tràng","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"253","Sữa Enfamil A+Lactofrbe","","","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","amino_acid_liver_nutrition"
"254","Sữa Enfamil A+Premature","","","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","amino_acid_liver_nutrition"
"255","Suprane DV-26","Desflurane","VN-17261-13","Dạng hít","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"256","Takizd","Furosemid","VD-34815-20","Tiêm","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","diuretic_furosemide"
"257","Takizd TTKN-25","Furosemid","VD-34815-20","Tiêm","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","diuretic_furosemide"
"258","Tamisynt 500mg","Ciprofloxacin hydrochloride (tương đương ciprofloxacin 500mg) 583mg","893615262423","Uống","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Tamisynt 500mg","fluoroquinolone"
"259","Tanganil 500mg TTKN-25","Acetyl leucin","VN-22534-20","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiepileptic_neuro"
"260","Tazopelin 4,5g","Piperacilin + tazobactam","VD-20673-14","Tiêm truyền","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Tazopelin 4,5g","piperacillin_tazobactam"
"261","Telmida 40","Telmisartan","840110117624","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"262","Tenamyd-Cefotaxime 1000","Cefotaxim","VD-19443-13","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Tenamyd-Cefotaxime 1000","ceftriaxone_cefotaxime"
"263","Terpin - Codein HD","Codein + terpin hydrat","VD-32105-19","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","opioid_nefopam"
"264","Terpin - Codein HD TTKN-25","Codein phosphat (dưới dạng Codein phosphat hemihydrat) + Terpin hydrat","893101855424","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","opioid_nefopam"
"265","Theresol","Natri clorid + kali clorid + natri citrat + glucose khan","VD-20942-14","Uống","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"266","Thyperopa forte","Methyldopa","VD-26833-17","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"267","TPDD Fomeal Basic Soup","18 acid amin","35/OGL/2020","Uống","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"268","TPDD Fomeal Peptides","","","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","amino_acid_liver_nutrition"
"269","TPDD Leisure preop","","","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","amino_acid_liver_nutrition"
"270","TRIPLIXAM 5mg/1.25mg/5mg TTKN-25","Perindopril (dưới dạng Perindopril Arginine 5mg) 3,395mg+ Indapamide 1,25mg +Amlodipine (dưới dạng Amlodipine besylate) 5mg","VN3-11-17","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"271","Unasyn","Ampicilin + sulbactam","VN-20843-17","Tiêm","Thuốc nội trú khác","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Nerusyn 1,5g TTKN-25","ampicillin_sulbactam"
"272","Đường Glucose","Thực phẩm bảo vệ sức khỏe","01/CTLL/2021","Uống","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"273","Utrogestan 200mg","Progesteron","VN-19020-15","Đặt âm đạo","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","women_health"
"274","Valsarfast 80mg film coated tablets","Valsartan","383110417023","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"275","Vaminolact","Acid amin + glucose + lipid ()","VN-19468-15","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"276","Vancomycin 1g","Vancomycin","893110375623","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Vancomycin 1g","vancomycin"
"277","Vancomycin 500mg","Vancomycin","893115078524","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Vancomycin 1g","vancomycin"
"278","Vastarel MR","Trimetazidin","VN-17735-14","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","cardiac_digoxin_ivabradine_nitrate"
"279","Vecmid 500mg","Vancomycin hydrochloride","VN-22663-20","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Vancomycin 1g","vancomycin"
"280","Veltaron TTKN-25","Diclofenac natri","893110208623","Đặt hậu môn","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"281","Ventolin Inhaler","Salbutamol sulfat","VN-18791-15","Xịt","Hô hấp","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bronchodilator_inhaled"
"282","Vigahom","Sắt gluconat + mangan gluconat + đồng gluconat","VD-28678-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"283","Vin-enama DV-26","","893110232624","Thụt hậu môn - trực tràng","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","device_misc"
"284","Vincain","Procain hydroclorid","893114470724","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"285","Vincerol","Acenocoumarol","VD-28148-17","Uống","Thuốc nội trú khác","Đã có hồ sơ xác minh theo hoạt chất/SĐK","acenocoumarol","statin_antiplatelet_anticoagulant"
"286","Vinceryl 5mg/5ml","Nitroglycerin","893110030324","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"287","VINCOMID TTKN-25","Metoclopamid HCl","VD-21919-14","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiemetic"
"288","Vinphatoxin DV-26","Oxytocin","893114039523","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"289","Vinphyton","Phytomenadion (vitamin K1)","893110712324","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"290","Vinsalmol","Salbutamol","VD-26324-17","Tiêm","Hô hấp","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bronchodilator_inhaled"
"291","Vitamin A-D","Vitamin A + D2 (Vitamin A + D3)","VD-19550-13","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"292","Vitamin A-D","Vitamin A + D2 (Vitamin A + D3)","893100341124","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"293","Vitamin A-D TTKN-25","Vitamin A+ Vitamin D3","893100341124","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"294","Vitamin B1","Vitamin B1","VD-27248-17","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"295","Vitamin B1-B6-B12","Vitamin B1 + B6 + B12","VD-18447-13","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"296","Vitamin E 400IU","Vitamin E","VD-18448-13","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"297","Vitaplex 500ml","Acid ascorbic;Dexpanthenol;Dextrose;Nicotinamid;Pyridoxin HCl;Riboflavin;Thiamin HCl","VN-21344-18","Truyền tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"298","Vitol SYT-25","Natri hyaluronat","893110454524","Nhỏ mắt","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","eye_ent_derm_local"
"299","Volulyte 6%","Tinh bột este hóa (hydroxyethyl starch)","VN-19956-16","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"300","Vorifend 500","Glucosamin","VD-32594-19","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
